CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
171,PREVENTION_CORRUPTION,7,1,1
171,IPC,406,2,2
171,IPC,420,3,3
172,PREVENTION_CORRUPTION,13,1,1
172,PREVENTION_CORRUPTION,7,2,2
173,IPC,363,1,1
173,POCSO,12,2,2
173,POCSO,4,3,3
174,IPC,420,1,1
174,PREVENTION_CORRUPTION,7,2,2
175,GAMBLING,4,1,1
175,IPC,506,2,2
175,ARMS,27,3,3
176,PREVENTION_CORRUPTION,7,1,1
177,IPC,420,1,1
178,MV,185,1,1
179,EXCISE,32,1,1
180,EXCISE,32,1,1
180,NDPS,27A,2,2
181,IPC,498A,1,1
181,DV,12,2,2
181,IPC,354,3,3
182,ARMS,27,1,1
183,ARMS,27,1,1
183,ARMS,25,2,2
184,BNS,303,1,1
184,BNS,318,2,2
185,MV,185,1,1
186,NDPS,27A,1,1
186,EXCISE,32,2,2
186,NDPS,21,3,3
187,MV,177,1,1
187,MV,196,2,2
188,IPC,406,1,1
188,PREVENTION_CORRUPTION,7,2,2
188,IPC,420,3,3
189,IT_ACT,66C,1,1
189,IT_ACT,66,2,2
190,IPC,506,1,1
191,NDPS,21,1,1
192,POCSO,8,1,1
192,POCSO,4,2,2
192,IPC,363,3,3
193,IT_ACT,66C,1,1
194,IT_ACT,66,1,1
195,IPC,304,1,1
195,IPC,324,2,2
195,IPC,302,3,3
196,NDPS,20,1,1
197,IT_ACT,66C,1,1
197,IT_ACT,67,2,2
197,IT_ACT,66,3,3
198,POCSO,6,1,1
199,IPC,325,1,1
200,IPC,363,1,1
200,IPC,354,2,2
201,IPC,354,1,1
201,IPC,498A,2,2
201,IPC,363,3,3
202,MV,184,1,1
202,MV,177,2,2
203,BNS,309,1,1
204,IPC,498A,1,1
204,IPC,363,2,2
205,PREVENTION_CORRUPTION,13,1,1
205,PREVENTION_CORRUPTION,7,2,2
206,IPC,506,1,1
207,BNS,109,1,1
207,IPC,302,2,2
207,IPC,304,3,3
208,PREVENTION_CORRUPTION,7,1,1
209,IT_ACT,66,1,1
209,IT_ACT,67,2,2
209,IT_ACT,66C,3,3
210,DV,12,1,1
211,GAMBLING,4,1,1
211,ARMS,25,2,2
212,NDPS,20,1,1
212,NDPS,27A,2,2
213,NDPS,22,1,1
214,IT_ACT,66,1,1
214,IT_ACT,66C,2,2
215,IT_ACT,66C,1,1
215,IT_ACT,67,2,2
216,MV,185,1,1
216,MV,184,2,2
216,MV,196,3,3
217,MV,177,1,1
218,NDPS,8,1,1
219,IT_ACT,66C,1,1
219,IT_ACT,66,2,2
220,BNS,309,1,1
221,IPC,363,1,1
221,POCSO,8,2,2
221,POCSO,4,3,3
222,IT_ACT,66C,1,1
222,IT_ACT,67,2,2
222,IT_ACT,66,3,3
223,PREVENTION_CORRUPTION,13,1,1
224,IT_ACT,66,1,1
224,IT_ACT,67,2,2
224,IT_ACT,66C,3,3
225,IPC,363,1,1
226,IPC,392,1,1
227,IPC,506,1,1
227,GAMBLING,4,2,2
227,ARMS,27,3,3
228,BNS,303,1,1
228,BNS,309,2,2
228,IPC,380,3,3
229,MV,177,1,1
230,IPC,420,1,1
230,IPC,406,2,2
230,PREVENTION_CORRUPTION,7,3,3
231,BNS,309,1,1
231,IPC,406,2,2
232,IPC,307,1,1
232,IPC,325,2,2
233,NDPS,21,1,1
233,NDPS,27A,2,2
233,NDPS,22,3,3
234,PREVENTION_CORRUPTION,7,1,1
234,PREVENTION_CORRUPTION,13,2,2
235,IPC,354,1,1
235,IPC,376,2,2
235,IPC,363,3,3
236,PREVENTION_CORRUPTION,7,1,1
237,BNS,309,1,1
238,BNS,109,1,1
238,IPC,307,2,2
238,IPC,324,3,3
239,PREVENTION_CORRUPTION,7,1,1
240,IPC,304,1,1
240,IPC,325,2,2
241,POCSO,4,1,1
241,POCSO,6,2,2
241,POCSO,12,3,3
242,ARMS,27,1,1
242,ARMS,25,2,2
243,MV,185,1,1
243,MV,184,2,2
243,MV,177,3,3
244,IPC,376,1,1
245,IPC,420,1,1
246,IPC,406,1,1
247,IPC,406,1,1
248,NDPS,20,1,1
249,NDPS,27A,1,1
249,EXCISE,32,2,2
250,EXCISE,32,1,1
250,NDPS,20,2,2
250,NDPS,8,3,3
251,PREVENTION_CORRUPTION,7,1,1
252,BNS,309,1,1
253,IT_ACT,67,1,1
254,IPC,363,1,1
254,POCSO,4,2,2
254,POCSO,8,3,3
255,DV,12,1,1
255,IPC,354,2,2
255,IPC,376,3,3
256,IT_ACT,66C,1,1
256,IT_ACT,66,2,2
256,IT_ACT,67,3,3
257,POCSO,12,1,1
258,IPC,420,1,1
258,IPC,379,2,2
259,MV,184,1,1
260,BNS,303,1,1
261,PREVENTION_CORRUPTION,13,1,1
261,PREVENTION_CORRUPTION,7,2,2
262,MV,177,1,1
262,MV,184,2,2
262,MV,196,3,3
263,IT_ACT,67,1,1
263,IT_ACT,66,2,2
263,IT_ACT,66C,3,3
264,NDPS,8,1,1
264,EXCISE,32,2,2
264,NDPS,22,3,3
265,MV,196,1,1
265,MV,185,2,2
266,EXCISE,32,1,1
266,NDPS,22,2,2
267,MV,184,1,1
267,MV,196,2,2
267,MV,185,3,3
268,POCSO,4,1,1
269,PREVENTION_CORRUPTION,13,1,1
269,PREVENTION_CORRUPTION,7,2,2
270,IPC,420,1,1
270,PREVENTION_CORRUPTION,7,2,2
271,IT_ACT,66,1,1
271,IT_ACT,67,2,2
271,IT_ACT,66C,3,3
272,IPC,302,1,1
272,BNS,103,2,2
272,IPC,307,3,3
273,IPC,325,1,1
273,IPC,302,2,2
274,IT_ACT,66,1,1
275,MV,196,1,1
276,IPC,395,1,1
276,IPC,379,2,2
277,IT_ACT,67,1,1
278,IPC,325,1,1
278,IPC,304,2,2
279,IPC,406,1,1
279,PREVENTION_CORRUPTION,7,2,2
279,IPC,420,3,3
280,IPC,376,1,1
280,DV,12,2,2
281,IPC,354,1,1
281,IPC,376,2,2
281,IPC,498A,3,3
282,PREVENTION_CORRUPTION,7,1,1
283,ARMS,27,1,1
284,PREVENTION_CORRUPTION,7,1,1
285,IT_ACT,66,1,1
285,IT_ACT,66C,2,2
285,IT_ACT,67,3,3
286,BNS,109,1,1
286,IPC,325,2,2
286,IPC,324,3,3
287,PREVENTION_CORRUPTION,7,1,1
288,MV,196,1,1
288,MV,185,2,2
288,MV,177,3,3
289,MV,196,1,1
289,MV,177,2,2
289,MV,185,3,3
290,IPC,379,1,1
291,IPC,420,1,1
291,IPC,392,2,2
292,IPC,354,1,1
293,MV,185,1,1
293,MV,177,2,2
294,IPC,506,1,1
294,ARMS,25,2,2
294,ARMS,27,3,3
295,PREVENTION_CORRUPTION,7,1,1
296,IT_ACT,66,1,1
296,IT_ACT,67,2,2
296,IT_ACT,66C,3,3
297,BNS,303,1,1
297,IPC,420,2,2
297,IPC,379,3,3
298,IT_ACT,66,1,1
298,IT_ACT,67,2,2
299,POCSO,8,1,1
299,POCSO,12,2,2
300,PREVENTION_CORRUPTION,7,1,1
301,IT_ACT,66C,1,1
302,NDPS,27A,1,1
302,EXCISE,32,2,2
302,NDPS,8,3,3
303,MV,184,1,1
303,MV,185,2,2
304,IPC,354,1,1
304,IPC,498A,2,2
305,IT_ACT,66C,1,1
305,IT_ACT,66,2,2
306,IPC,376,1,1
306,IPC,354,2,2
306,IPC,498A,3,3
307,IT_ACT,66C,1,1
307,IT_ACT,67,2,2
308,PREVENTION_CORRUPTION,7,1,1
308,PREVENTION_CORRUPTION,13,2,2
309,IPC,506,1,1
310,IPC,354,1,1
311,IPC,420,1,1
312,PREVENTION_CORRUPTION,7,1,1
312,PREVENTION_CORRUPTION,13,2,2
313,BNS,109,1,1
313,IPC,304,2,2
313,IPC,324,3,3
314,PREVENTION_CORRUPTION,13,1,1
315,POCSO,4,1,1
316,NDPS,22,1,1
316,NDPS,20,2,2
317,IT_ACT,66,1,1
317,IT_ACT,66C,2,2
318,DV,12,1,1
318,IPC,376,2,2
319,EXCISE,32,1,1
319,NDPS,21,2,2
319,NDPS,8,3,3
320,IPC,506,1,1
320,ARMS,25,2,2
320,GAMBLING,4,3,3
321,GAMBLING,4,1,1
321,ARMS,27,2,2
321,IPC,506,3,3
322,POCSO,6,1,1
323,NDPS,21,1,1
323,NDPS,22,2,2
323,NDPS,27A,3,3
324,MV,177,1,1
324,MV,185,2,2
325,IPC,307,1,1
325,IPC,304,2,2
325,BNS,109,3,3
326,ARMS,27,1,1
326,ARMS,25,2,2
327,GAMBLING,4,1,1
328,IPC,363,1,1
328,IPC,498A,2,2
328,IPC,354,3,3
329,NDPS,21,1,1
329,NDPS,8,2,2
330,DV,12,1,1
330,IPC,354,2,2
331,NDPS,22,1,1
331,NDPS,27A,2,2
332,POCSO,8,1,1
332,POCSO,12,2,2
332,POCSO,6,3,3
333,IPC,498A,1,1
334,NDPS,8,1,1
335,PREVENTION_CORRUPTION,13,1,1
336,NDPS,21,1,1
336,NDPS,22,2,2
337,IPC,302,1,1
337,IPC,304,2,2
337,BNS,109,3,3
338,MV,185,1,1
339,IPC,363,1,1
339,DV,12,2,2
339,IPC,498A,3,3
340,MV,185,1,1
341,POCSO,8,1,1
341,POCSO,12,2,2
341,POCSO,6,3,3
342,PREVENTION_CORRUPTION,7,1,1
343,POCSO,12,1,1
343,POCSO,6,2,2
344,MV,177,1,1
345,MV,196,1,1
346,POCSO,6,1,1
346,POCSO,8,2,2
346,POCSO,4,3,3
347,MV,177,1,1
347,MV,185,2,2
347,MV,196,3,3
348,MV,196,1,1
348,MV,185,2,2
348,MV,184,3,3
349,IPC,498A,1,1
349,IPC,354,2,2
350,ARMS,27,1,1
351,POCSO,8,1,1
351,POCSO,12,2,2
351,IPC,363,3,3
352,POCSO,4,1,1
352,IPC,363,2,2
352,POCSO,12,3,3
353,PREVENTION_CORRUPTION,7,1,1
353,PREVENTION_CORRUPTION,13,2,2
354,PREVENTION_CORRUPTION,13,1,1
354,PREVENTION_CORRUPTION,7,2,2
355,IPC,363,1,1
356,IPC,376,1,1
356,IPC,498A,2,2
356,DV,12,3,3
357,IPC,363,1,1
357,IPC,498A,2,2
357,DV,12,3,3
358,BNS,303,1,1
358,IPC,395,2,2
358,IPC,380,3,3
359,MV,185,1,1
359,MV,196,2,2
359,MV,177,3,3
360,IPC,506,1,1
360,ARMS,25,2,2
361,IPC,325,1,1
361,IPC,307,2,2
361,BNS,103,3,3
362,ARMS,27,1,1
362,IPC,506,2,2
362,GAMBLING,4,3,3
363,PREVENTION_CORRUPTION,7,1,1
363,IPC,420,2,2
364,IPC,363,1,1
364,IPC,498A,2,2
364,IPC,354,3,3
365,EXCISE,32,1,1
366,IPC,420,1,1
366,IPC,406,2,2
367,IPC,406,1,1
367,IPC,420,2,2
367,PREVENTION_CORRUPTION,7,3,3
368,PREVENTION_CORRUPTION,7,1,1
368,IPC,420,2,2
369,IT_ACT,66,1,1
370,MV,177,1,1
370,MV,184,2,2
370,MV,196,3,3
371,PREVENTION_CORRUPTION,13,1,1
372,ARMS,27,1,1
372,ARMS,25,2,2
372,IPC,506,3,3
373,IT_ACT,66C,1,1
373,IT_ACT,66,2,2
374,BNS,303,1,1
375,PREVENTION_CORRUPTION,7,1,1
375,PREVENTION_CORRUPTION,13,2,2
376,IT_ACT,66C,1,1
376,IT_ACT,66,2,2
377,NDPS,21,1,1
377,NDPS,20,2,2
377,EXCISE,32,3,3
378,ARMS,25,1,1
378,IPC,506,2,2
379,MV,185,1,1
379,MV,184,2,2
380,IPC,363,1,1
381,IPC,354,1,1
381,IPC,363,2,2
382,PREVENTION_CORRUPTION,7,1,1
382,IPC,406,2,2
382,IPC,420,3,3
383,IT_ACT,66C,1,1
383,IT_ACT,66,2,2
383,IT_ACT,67,3,3
384,MV,185,1,1
384,MV,196,2,2
384,MV,184,3,3
385,IT_ACT,66C,1,1
386,IT_ACT,67,1,1
386,IT_ACT,66C,2,2
386,IT_ACT,66,3,3
387,ARMS,25,1,1
388,MV,184,1,1
389,POCSO,12,1,1
389,IPC,363,2,2
390,POCSO,12,1,1
390,POCSO,4,2,2
390,IPC,363,3,3
391,IPC,420,1,1
392,IT_ACT,66,1,1
392,IT_ACT,66C,2,2
392,IT_ACT,67,3,3
393,IT_ACT,66,1,1
393,IT_ACT,66C,2,2
394,NDPS,22,1,1
395,BNS,309,1,1
395,IPC,380,2,2
396,BNS,318,1,1
397,GAMBLING,4,1,1
397,IPC,506,2,2
398,MV,184,1,1
398,MV,177,2,2
399,IPC,304,1,1
399,IPC,307,2,2
400,ARMS,25,1,1
400,ARMS,27,2,2
400,GAMBLING,4,3,3
401,IT_ACT,66,1,1
402,IPC,354,1,1
402,DV,12,2,2
402,IPC,363,3,3
403,GAMBLING,4,1,1
403,IPC,506,2,2
403,ARMS,25,3,3
404,MV,177,1,1
404,MV,184,2,2
405,BNS,109,1,1
405,IPC,325,2,2
405,IPC,304,3,3
406,ARMS,27,1,1
406,ARMS,25,2,2
407,IPC,325,1,1
407,BNS,103,2,2
408,PREVENTION_CORRUPTION,7,1,1
408,IPC,406,2,2
409,GAMBLING,4,1,1
410,PREVENTION_CORRUPTION,7,1,1
411,IT_ACT,66C,1,1
411,IT_ACT,66,2,2
411,IT_ACT,67,3,3
412,POCSO,6,1,1
413,MV,184,1,1
413,MV,185,2,2
413,MV,177,3,3
414,IT_ACT,66C,1,1
414,IT_ACT,67,2,2
415,ARMS,27,1,1
416,BNS,303,1,1
416,IPC,380,2,2
417,IPC,392,1,1
417,IPC,379,2,2
417,BNS,303,3,3
418,PREVENTION_CORRUPTION,13,1,1
418,PREVENTION_CORRUPTION,7,2,2
419,IT_ACT,66,1,1
419,IT_ACT,67,2,2
420,PREVENTION_CORRUPTION,13,1,1
420,PREVENTION_CORRUPTION,7,2,2
421,IPC,363,1,1
421,POCSO,6,2,2
421,POCSO,12,3,3
422,IPC,379,1,1
422,IPC,380,2,2
422,BNS,309,3,3
423,IT_ACT,66,1,1
423,IT_ACT,66C,2,2
424,BNS,109,1,1
425,POCSO,4,1,1
426,IPC,506,1,1
427,IT_ACT,66,1,1
427,IT_ACT,66C,2,2
427,IT_ACT,67,3,3
428,BNS,318,1,1
428,IPC,395,2,2
429,IPC,406,1,1
429,BNS,303,2,2
429,IPC,379,3,3
430,IPC,406,1,1
430,PREVENTION_CORRUPTION,7,2,2
431,NDPS,20,1,1
431,EXCISE,32,2,2
432,PREVENTION_CORRUPTION,7,1,1
433,BNS,303,1,1
433,IPC,395,2,2
434,IPC,363,1,1
435,IPC,506,1,1
435,ARMS,25,2,2
435,GAMBLING,4,3,3
436,POCSO,8,1,1
436,POCSO,4,2,2
436,IPC,363,3,3
437,BNS,103,1,1
437,IPC,325,2,2
437,BNS,109,3,3
438,IPC,406,1,1
438,PREVENTION_CORRUPTION,7,2,2
439,IPC,379,1,1
439,IPC,392,2,2
439,IPC,406,3,3
440,IPC,392,1,1
441,MV,185,1,1
441,MV,184,2,2
442,IPC,406,1,1
442,IPC,392,2,2
442,IPC,395,3,3
443,IPC,324,1,1
443,IPC,302,2,2
443,IPC,304,3,3
444,IPC,304,1,1
444,BNS,109,2,2
444,IPC,325,3,3
445,POCSO,4,1,1
445,POCSO,8,2,2
445,POCSO,6,3,3
446,POCSO,12,1,1
446,POCSO,4,2,2
446,IPC,363,3,3
447,NDPS,27A,1,1
448,PREVENTION_CORRUPTION,7,1,1
449,IPC,363,1,1
450,NDPS,20,1,1
450,NDPS,22,2,2
451,BNS,318,1,1
452,IPC,380,1,1
452,IPC,392,2,2
452,IPC,379,3,3
453,ARMS,27,1,1
454,NDPS,21,1,1
454,EXCISE,32,2,2
455,BNS,103,1,1
456,IPC,307,1,1
456,BNS,103,2,2
457,IPC,420,1,1
457,IPC,406,2,2
458,MV,196,1,1
459,MV,184,1,1
459,MV,185,2,2
459,MV,177,3,3
460,NDPS,20,1,1
460,NDPS,27A,2,2
460,NDPS,21,3,3
461,PREVENTION_CORRUPTION,7,1,1
462,IPC,420,1,1
463,PREVENTION_CORRUPTION,13,1,1
464,IPC,302,1,1
465,PREVENTION_CORRUPTION,7,1,1
465,PREVENTION_CORRUPTION,13,2,2
466,IPC,506,1,1
466,ARMS,25,2,2
467,IT_ACT,67,1,1
468,IPC,406,1,1
468,IPC,420,2,2
468,PREVENTION_CORRUPTION,7,3,3
469,IPC,406,1,1
469,IPC,395,2,2
470,IPC,406,1,1
470,IPC,380,2,2
470,BNS,303,3,3
471,MV,185,1,1
471,MV,196,2,2
471,MV,184,3,3
472,MV,185,1,1
472,MV,196,2,2
473,NDPS,8,1,1
473,EXCISE,32,2,2
473,NDPS,27A,3,3
474,IPC,395,1,1
474,IPC,380,2,2
474,BNS,303,3,3
475,PREVENTION_CORRUPTION,7,1,1
475,IPC,420,2,2
475,IPC,406,3,3
476,IPC,420,1,1
476,IPC,380,2,2
476,BNS,309,3,3
477,IPC,392,1,1
477,BNS,303,2,2
478,NDPS,8,1,1
479,MV,177,1,1
480,IT_ACT,66,1,1
481,IT_ACT,66,1,1
481,IT_ACT,66C,2,2
481,IT_ACT,67,3,3
482,ARMS,25,1,1
482,GAMBLING,4,2,2
482,IPC,506,3,3
483,ARMS,25,1,1
484,IPC,380,1,1
485,MV,184,1,1
485,MV,177,2,2
486,PREVENTION_CORRUPTION,13,1,1
486,PREVENTION_CORRUPTION,7,2,2
487,NDPS,22,1,1
488,IPC,406,1,1
488,IPC,379,2,2
489,PREVENTION_CORRUPTION,7,1,1
489,PREVENTION_CORRUPTION,13,2,2
490,NDPS,27A,1,1
491,IPC,363,1,1
491,POCSO,6,2,2
491,POCSO,8,3,3
492,IPC,363,1,1
492,IPC,354,2,2
492,DV,12,3,3
493,IPC,395,1,1
493,IPC,420,2,2
494,POCSO,12,1,1
494,POCSO,4,2,2
495,IPC,363,1,1
495,IPC,354,2,2
496,PREVENTION_CORRUPTION,7,1,1
497,IPC,395,1,1
497,IPC,406,2,2
497,BNS,318,3,3
498,GAMBLING,4,1,1
498,ARMS,27,2,2
498,IPC,506,3,3
499,IPC,363,1,1
499,IPC,498A,2,2
500,IPC,302,1,1
501,MV,196,1,1
501,MV,185,2,2
502,PREVENTION_CORRUPTION,7,1,1
503,MV,177,1,1
504,IPC,420,1,1
504,IPC,406,2,2
504,IPC,379,3,3
505,ARMS,27,1,1
505,ARMS,25,2,2
506,IPC,380,1,1
506,IPC,406,2,2
507,EXCISE,32,1,1
507,NDPS,21,2,2
507,NDPS,27A,3,3
508,MV,196,1,1
508,MV,184,2,2
509,PREVENTION_CORRUPTION,7,1,1
510,IPC,363,1,1
510,IPC,354,2,2
511,PREVENTION_CORRUPTION,7,1,1
511,PREVENTION_CORRUPTION,13,2,2
512,PREVENTION_CORRUPTION,7,1,1
512,PREVENTION_CORRUPTION,13,2,2
513,POCSO,12,1,1
