ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateID,ArrestSurrenderDistrictID,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
196,132,1,2026-06-18,1,11,73,531,22,345,true,false
197,134,1,2026-05-22,1,20,141,256,40,347,true,false
198,134,1,2026-06-05,1,20,139,135,39,348,true,false
199,134,1,2026-06-30,1,20,136,245,40,349,true,false
200,135,1,2026-04-19,1,3,19,433,6,350,true,false
201,135,1,2026-04-03,1,23,162,648,5,351,true,false
202,137,1,2024-06-16,1,5,32,635,9,354,true,false
203,137,1,2024-07-27,1,5,33,1100,10,356,true,false
204,138,1,2025-10-21,1,11,75,978,21,357,true,false
205,139,1,2025-08-23,1,21,148,723,42,358,true,false
206,139,2,2025-08-17,1,21,143,103,41,359,true,false
207,141,1,2026-06-30,1,24,169,804,29,362,true,false
208,141,1,2026-06-30,1,15,103,872,30,363,true,false
209,142,2,2024-08-18,1,17,120,977,33,366,true,false
210,142,2,2024-07-07,1,17,115,122,34,367,true,false
211,143,1,2023-05-22,1,10,69,1121,19,368,true,false
212,143,1,2023-10-13,1,12,80,382,19,369,true,false
213,144,1,2023-08-01,1,5,31,359,9,370,true,false
214,146,1,2023-08-23,1,25,175,473,50,372,true,false
215,148,1,2023-04-26,1,17,116,433,33,378,true,false
216,149,1,2025-07-28,1,28,196,42,55,381,true,false
217,149,1,2025-09-29,1,28,192,482,56,382,true,false
218,150,2,2026-06-30,1,24,166,872,30,383,true,false
219,150,1,2026-06-30,1,15,101,178,29,384,true,false
220,150,1,2026-06-30,1,15,102,895,30,385,true,false
221,153,2,2024-06-22,1,8,52,242,5,390,true,false
222,153,1,2024-07-04,1,3,20,239,6,391,true,false
223,154,1,2025-03-21,1,22,155,666,44,392,true,false
224,155,1,2024-06-15,1,12,82,1141,23,394,true,false
225,155,2,2024-07-10,1,12,84,246,24,395,true,false
226,156,1,2023-05-20,1,1,4,1141,2,396,true,false
227,156,1,2023-04-30,1,1,5,897,1,398,true,false
228,158,1,2026-06-30,1,15,103,302,30,400,true,false
229,158,1,2026-05-02,1,25,174,857,30,401,true,false
230,159,1,2025-10-02,1,6,38,125,12,402,true,false
231,160,1,2025-04-23,1,6,41,8,12,403,true,false
232,160,1,2025-06-26,1,6,42,792,12,405,true,false
233,161,2,2025-06-07,1,12,81,1185,23,407,true,false
234,161,1,2025-06-04,1,12,83,428,23,408,true,false
235,162,1,2026-06-30,1,30,211,957,60,410,true,false
236,162,1,2026-06-30,1,30,211,646,59,411,true,false
237,163,1,2023-07-07,1,22,155,833,43,412,true,false
238,163,1,2023-07-03,1,22,151,648,44,414,true,false
239,164,1,2025-09-28,1,21,147,319,41,415,true,false
240,164,1,2025-10-10,1,21,144,202,42,416,true,false
241,164,2,2025-11-08,1,21,144,751,41,417,true,false
242,165,1,2026-06-30,1,29,203,264,57,418,true,false
243,165,1,2026-06-30,1,29,204,197,57,419,true,false
244,166,1,2025-03-21,1,14,95,595,28,422,true,false
245,167,1,2024-06-18,1,16,112,290,32,425,true,false
246,169,1,2024-07-03,1,19,134,461,37,430,true,false
247,170,2,2023-02-19,1,26,182,246,52,432,true,false
248,170,2,2023-03-17,1,26,179,1093,52,433,true,false
249,170,1,2023-06-16,1,26,182,22,51,435,true,false
250,171,1,2025-08-13,1,7,46,155,14,437,true,false
251,171,1,2025-10-10,1,7,49,167,14,438,true,false
252,171,1,2025-12-06,1,7,48,193,14,439,true,false
253,172,1,2025-04-21,1,13,89,702,26,441,true,false
254,173,1,2024-09-10,1,19,131,909,37,442,true,false
255,174,1,2023-04-17,1,1,7,1071,2,443,true,false
256,174,2,2023-07-28,1,1,4,504,1,444,true,false
257,174,1,2023-09-05,1,1,8,206,1,445,true,false
258,175,1,2025-07-02,1,4,26,835,7,448,true,false
259,175,2,2025-10-23,1,1,3,252,8,449,true,false
260,176,2,2025-03-31,1,21,145,607,38,450,true,false
261,178,2,2024-08-26,1,27,188,1009,54,455,true,true
262,178,2,2024-08-29,1,27,186,967,54,456,true,false
263,179,1,2025-05-18,1,27,187,901,9,458,true,false
264,179,1,2025-05-14,1,5,31,635,10,459,true,false
265,179,1,2025-08-29,1,5,36,1114,9,460,true,false
266,181,1,2024-06-06,1,21,143,1194,23,462,true,false
267,181,1,2024-08-31,1,12,85,831,23,463,true,false
268,182,1,2023-03-01,1,6,40,74,11,468,true,false
269,183,1,2024-06-14,1,31,216,262,61,471,true,false
270,183,1,2024-06-14,1,11,75,634,62,472,true,false
271,184,1,2024-01-18,1,10,66,1168,19,474,true,false
272,184,2,2024-04-24,1,10,67,704,20,476,true,false
273,185,1,2026-06-30,1,5,33,417,9,478,true,false
274,185,2,2026-06-30,1,5,35,852,9,480,true,false
275,186,2,2026-06-30,1,18,125,158,35,481,true,false
276,186,1,2026-06-30,1,18,126,836,36,482,true,false
277,186,1,2026-06-01,1,18,126,940,35,483,true,false
278,187,1,2025-07-20,1,21,144,585,41,486,true,true
279,188,1,2025-05-08,1,3,21,495,6,487,true,false
280,188,1,2025-08-24,1,3,18,310,6,488,true,false
281,188,1,2025-04-21,1,3,22,74,6,489,true,false
282,188,1,2025-04-21,1,3,17,409,6,490,true,false
283,189,1,2026-06-12,1,14,94,442,27,491,true,false
284,190,1,2023-03-18,1,19,129,736,37,493,true,false
285,191,1,2025-10-10,1,23,158,11,46,494,true,false
286,192,1,2026-01-08,1,8,55,55,16,495,true,false
287,193,1,2025-11-15,1,26,179,1094,51,496,true,false
288,194,1,2023-04-13,1,4,27,1133,7,499,true,false
289,194,1,2023-06-09,1,4,24,626,7,500,true,false
290,195,1,2024-04-28,1,9,62,908,18,501,true,false
291,196,2,2025-06-05,1,29,204,103,57,502,true,false
292,196,1,2025-06-10,1,29,201,899,58,503,true,false
293,197,1,2025-07-18,1,8,53,768,15,505,true,false
294,198,1,2024-06-19,1,14,95,117,37,507,true,false
295,198,1,2024-06-17,1,19,134,650,37,508,true,false
296,199,1,2025-01-15,1,22,155,259,43,509,true,false
297,199,1,2025-02-09,1,22,151,494,44,510,true,false
298,199,2,2025-06-17,1,22,150,1002,44,512,true,false
299,203,1,2025-04-25,1,14,99,652,27,516,true,false
300,204,1,2024-10-20,1,8,54,575,16,518,true,false
301,204,1,2024-11-19,1,8,56,512,15,519,true,false
302,205,1,2024-08-14,1,18,124,996,35,520,true,false
303,205,2,2024-08-10,1,1,7,1192,36,521,true,false
304,206,1,2026-06-04,1,2,14,855,3,523,true,false
305,207,1,2024-09-25,1,5,35,1192,10,525,true,false
306,207,1,2024-09-28,1,5,32,196,10,527,true,false
307,207,2,2024-08-08,1,5,35,603,9,528,true,false
308,208,2,2023-08-16,1,21,145,809,42,529,true,false
309,208,2,2023-07-06,1,21,143,615,41,531,true,false
310,208,1,2023-03-03,1,21,144,383,42,532,true,false
311,209,2,2025-09-12,1,11,75,901,21,533,true,false
312,209,1,2025-07-08,1,11,73,893,21,534,true,false
313,209,1,2025-09-08,1,11,77,353,22,536,true,false
314,210,1,2024-08-17,1,13,88,736,26,537,true,false
315,210,1,2024-06-16,1,13,87,1143,26,538,true,false
316,210,1,2024-09-30,1,13,92,518,25,539,true,false
317,211,2,2023-08-09,1,4,28,1056,16,540,true,false
318,212,2,2026-06-30,1,30,209,1140,59,541,true,false
319,213,1,2023-09-13,1,14,96,1150,52,543,true,false
320,214,1,2026-06-01,1,28,193,1177,55,545,true,false
321,214,2,2026-06-30,1,18,127,928,56,546,true,false
322,215,2,2026-06-30,1,18,125,737,35,547,true,false
323,215,1,2026-06-30,1,18,127,372,36,548,true,false
324,215,1,2026-06-30,1,18,127,1062,35,549,true,false
325,217,1,2023-07-25,1,23,161,1154,45,552,true,false
326,218,2,2025-03-14,1,3,18,301,32,553,true,false
327,219,1,2026-05-17,1,16,109,1194,32,554,true,false
328,219,1,2026-03-30,1,16,111,32,31,555,true,false
329,219,1,2026-06-30,1,26,182,763,31,556,true,false
330,219,1,2026-06-30,1,23,158,363,32,557,true,false
331,220,1,2025-05-22,1,2,15,978,3,558,true,false
332,221,1,2023-09-03,1,31,217,973,61,560,true,false
333,222,1,2025-08-25,1,30,207,375,59,561,true,false
334,223,1,2025-05-05,1,26,181,293,52,563,true,false
335,224,2,2025-05-20,1,15,104,36,29,565,true,false
336,225,1,2025-05-04,1,3,19,76,8,567,true,false
337,225,1,2025-04-02,1,4,26,148,7,568,true,false
338,225,2,2025-05-06,1,4,28,940,7,569,true,false
339,226,2,2024-06-08,1,24,165,280,48,570,true,false
340,226,1,2024-06-01,1,24,164,751,48,571,true,false
341,226,1,2024-07-27,1,24,164,215,48,572,true,false
342,228,1,2024-10-10,1,7,45,963,13,577,true,false
343,228,1,2024-05-26,1,7,49,607,14,578,true,false
344,229,1,2023-12-03,1,27,188,836,53,579,true,false
345,229,1,2023-11-24,1,27,185,229,54,580,true,false
346,229,1,2023-10-18,1,27,186,683,53,582,true,false
347,230,1,2024-03-21,1,11,73,122,47,583,true,false
348,232,1,2025-06-18,1,4,24,714,8,588,true,false
349,233,2,2023-04-11,1,20,139,828,37,590,true,false
350,233,1,2023-02-22,1,19,134,169,37,591,true,false
351,233,1,2023-04-25,1,19,131,437,37,592,true,false
352,233,2,2023-02-12,1,19,132,1158,37,593,true,false
353,235,1,2025-05-03,1,16,109,940,32,595,true,true
354,235,1,2025-06-29,1,16,113,40,31,596,true,false
355,235,1,2025-08-08,1,16,110,1164,31,597,true,false
356,236,1,2025-05-11,1,24,167,1168,4,599,true,false
357,237,1,2026-06-30,1,8,53,1077,34,602,true,false
358,238,1,2026-06-30,1,28,192,1106,55,604,true,false
359,239,1,2024-03-24,1,3,21,1172,6,605,true,false
360,239,2,2024-05-08,1,3,21,90,6,606,true,false
361,239,1,2024-08-08,1,3,20,181,6,608,true,false
362,240,1,2023-07-23,1,10,71,831,12,610,true,false
363,241,1,2024-07-18,1,21,145,988,41,613,true,false
364,241,1,2024-07-20,1,21,146,570,42,614,true,false
365,244,1,2025-04-22,1,10,71,229,20,620,true,false
366,245,1,2026-06-30,1,14,97,570,27,622,true,true
367,246,2,2026-06-07,1,20,139,946,40,624,true,false
368,248,2,2026-06-30,1,16,111,1067,4,628,true,false
369,248,2,2026-06-30,1,2,12,783,3,629,true,false
370,249,1,2026-06-30,1,4,25,393,8,630,true,false
371,249,1,2026-06-30,1,4,27,252,8,631,true,false
372,250,1,2025-08-12,1,30,208,722,59,635,true,false
373,252,1,2023-08-02,1,2,13,890,56,639,true,false
374,253,2,2024-08-05,1,12,81,420,24,641,true,false
375,254,2,2026-06-29,1,1,3,608,1,642,true,false
376,255,1,2023-03-09,1,8,54,149,15,643,true,false
377,255,1,2023-04-01,1,8,53,205,16,645,true,false
378,255,1,2023-06-26,1,8,55,391,16,646,true,false
379,256,1,2026-04-12,1,2,13,935,4,648,true,false
380,257,1,2023-05-01,1,22,154,402,43,650,true,false
381,259,1,2023-08-04,1,28,192,264,56,654,true,false
382,260,1,2024-05-12,1,27,188,402,54,656,true,false
383,260,1,2024-09-17,1,27,188,420,53,657,true,false
384,261,1,2023-08-21,1,27,190,513,54,658,true,false
385,261,2,2023-08-20,1,27,187,309,54,659,true,false
386,261,1,2023-09-12,1,27,186,681,53,660,true,false
387,262,1,2023-04-04,1,4,27,8,7,662,true,false
388,262,1,2023-02-21,1,4,29,242,7,663,true,false
389,263,1,2024-03-09,1,21,144,794,42,664,true,false
390,264,2,2026-06-30,1,15,101,598,30,665,true,false
391,264,1,2026-06-30,1,15,106,395,29,667,true,false
392,264,2,2026-06-30,1,15,105,333,30,668,true,false
393,265,1,2023-07-18,1,1,8,275,18,671,true,true
394,266,1,2026-06-30,1,20,138,936,39,673,true,false
395,266,1,2026-06-30,1,24,168,737,40,675,true,false
396,269,1,2024-10-30,1,23,162,981,46,679,true,false
397,270,2,2026-06-30,1,9,61,158,18,680,true,false
398,270,1,2026-04-17,1,9,60,961,17,681,true,false
399,270,2,2026-04-22,1,9,64,339,17,682,true,false
400,272,2,2023-08-04,1,6,41,959,11,687,true,false
401,273,1,2023-10-29,1,29,199,876,57,688,true,false
402,273,1,2023-06-14,1,29,202,169,57,689,true,false
403,273,1,2023-09-12,1,29,202,1036,57,690,true,false
404,274,1,2026-06-30,1,31,214,67,62,691,true,false
405,277,1,2023-08-20,1,17,115,836,34,696,true,true
406,277,1,2023-08-06,1,17,115,1059,33,697,true,false
407,278,1,2023-05-30,1,13,91,518,25,698,true,false
408,278,2,2023-08-23,1,13,88,743,25,699,true,false
409,279,1,2024-07-12,1,18,126,490,36,700,true,false
410,280,1,2026-06-15,1,28,193,706,55,702,true,true
411,280,1,2026-06-30,1,28,194,472,56,704,true,false
412,281,1,2026-06-30,1,24,169,1151,47,707,true,false
413,283,1,2024-02-08,1,7,50,33,13,710,true,false
414,284,1,2025-05-05,1,12,80,908,23,713,true,false
415,285,1,2024-08-27,1,31,216,673,61,717,true,false
416,285,1,2024-09-23,1,18,125,473,61,718,true,false
417,286,1,2024-02-05,1,15,104,868,30,719,true,false
418,286,1,2024-04-17,1,15,106,67,30,720,true,false
419,286,1,2024-05-22,1,15,104,259,29,721,true,false
420,286,1,2024-01-29,1,15,103,42,29,722,true,false
421,288,1,2026-05-03,1,31,213,17,8,725,true,true
422,288,2,2026-04-12,1,10,69,774,8,726,true,false
423,289,1,2026-05-07,1,18,123,829,35,729,true,false
424,294,1,2023-09-27,1,29,204,575,57,736,true,false
425,295,1,2023-07-07,1,18,122,839,35,737,true,false
426,296,1,2023-09-28,1,28,195,723,55,738,true,false
427,296,1,2023-07-24,1,28,197,570,56,739,true,false
428,297,1,2023-04-12,1,10,69,666,20,740,true,false
429,298,1,2024-05-01,1,8,53,310,16,742,true,true
430,300,1,2024-05-10,1,8,56,268,16,745,true,false
431,300,1,2024-08-15,1,8,54,625,15,746,true,false
432,300,1,2024-04-08,1,8,53,158,16,747,true,false
433,300,2,2024-09-06,1,8,53,972,16,748,true,false
434,301,2,2026-03-27,1,7,49,1194,7,749,true,false
435,302,1,2023-09-17,1,7,50,986,13,753,true,false
436,302,1,2023-10-09,1,19,133,317,14,754,true,false
437,303,1,2025-08-02,1,17,119,1059,33,757,true,true
438,303,1,2025-07-01,1,26,179,526,33,758,true,false
439,304,1,2023-08-13,1,3,20,1009,6,759,true,false
440,304,1,2023-04-20,1,3,19,1088,5,760,true,false
441,305,1,2024-06-26,1,25,173,866,50,765,true,false
442,306,1,2026-06-03,1,27,185,113,53,766,true,false
443,307,2,2026-06-30,1,7,46,383,13,768,true,false
444,307,1,2026-06-30,1,7,47,773,13,769,true,false
445,308,1,2024-05-25,1,14,99,1008,27,771,true,false
446,308,1,2024-08-02,1,14,96,973,28,773,true,false
447,309,1,2026-04-27,1,3,18,794,13,774,true,false
448,311,1,2023-06-05,1,1,5,252,1,778,true,false
449,312,1,2025-09-16,1,15,102,722,29,781,true,false
450,312,1,2025-06-17,1,15,102,839,29,783,true,true
451,312,1,2025-07-13,1,15,103,980,30,784,true,false
452,313,2,2024-05-15,1,5,36,669,9,785,true,false
453,313,2,2024-06-07,1,5,32,58,10,787,true,false
454,314,1,2026-06-30,1,20,141,971,40,788,true,false
455,315,1,2023-09-29,1,28,197,837,55,793,true,false
456,317,1,2026-06-29,1,9,61,1156,17,796,true,false
457,318,1,2023-09-07,1,21,147,896,42,797,true,false
458,318,1,2023-10-01,1,21,147,876,41,798,true,false
459,320,1,2023-06-27,1,4,25,25,15,802,true,false
460,321,1,2023-09-15,1,12,83,714,42,803,true,false
461,322,1,2025-09-20,1,7,46,19,13,805,true,false
462,323,1,2023-11-30,1,12,82,419,5,808,true,false
463,323,2,2023-07-20,1,3,20,669,6,809,true,false
464,324,1,2026-04-30,1,17,117,737,31,811,true,false
465,325,1,2026-06-03,1,7,46,648,13,812,true,false
466,325,2,2026-06-19,1,7,45,510,14,813,true,false
467,325,1,2026-06-22,1,26,180,572,14,814,true,false
468,326,1,2026-06-30,1,7,45,374,10,817,true,false
469,327,1,2023-06-26,1,7,46,1200,13,819,true,false
470,329,1,2025-08-27,1,11,77,1169,21,823,true,false
471,330,1,2024-07-28,1,31,217,953,62,825,true,false
472,331,2,2024-06-19,1,3,21,232,6,829,true,false
